年次,みかん収穫量[t],りんご収穫量[t],ぶどう収穫量[t]
1973,3389000 ,962700 ,271000 
1974,3383000 ,850400 ,294900 
1975,3665000 ,897900 ,284200 
1976,3089000 ,879400 ,304100 
1977,3539000 ,958800 ,326500 
1978,3026000 ,844000 ,327700 
1979,3618000 ,852700 ,352000 
1980,2892000 ,960100 ,323200 
1981,2819000 ,845700 ,309900 
1982,2864000 ,924500 ,338300 
1983,2859000 ,1048000 ,323700 
1984,2005000 ,811700 ,310400 
1985,2491000 ,910300 ,311300 
1986,2168000 ,986100 ,301900 
1987,2518000 ,997900 ,307900 
1988,1998000 ,1042000 ,295700 
1989,2015000 ,1045000 ,274700 
1990,1653000 ,1053000 ,276100 
1991,1579000 ,760400 ,270800 
1992,1683000 ,1039000 ,276000 
1993,1490000 ,1011000 ,259500 
1994,1247000 ,989300 ,244900 
1995,1378000 ,962600 ,250300 
1996,1153000 ,899200 ,243900 
1997,1555000 ,993300 ,251300 
1998,1194000 ,879100 ,232900 
1999,1447000 ,927700 ,242200 
2000,1143000 ,799600 ,237500 
2001,1282000 ,930700 ,225400 
2002,1131000 ,925800 ,231700 
2003,1146000 ,842200 ,220800 
2004,1060000 ,754400 ,205600 
2005,1132000 ,818900 ,219900 
2006,841900 ,831800 ,210500 
2007,1066000 ,840100 ,209100 
2008,906100 ,910700 ,201000 
2009,1003000 ,845600 ,202200 
2010,786000 ,786500 ,184800 
2011,928200 ,655300 ,172600 
2012,846300 ,793800 ,198300 
2013,895900 ,741700 ,189700 
2014,874700 ,816300 ,189200 
2015,777800 ,811500 ,180500 
2016,805100 ,765000 ,179200 
2017,741300 ,735200 ,176100 
2018,773700 ,756100 ,174700 
